SPOT	Gene Symbol	15m	30m	60m	90m	120m
1440	YDR453C	-1.0227	-1.65	-1.664275	0.056375	-0.1872
1441	YDR454C	-0.95735	-1.14595	-1.0578	-0.800625	-0.067375
1451	YDR464W	0.6221	0.54505	0.864975	-0.27035	-0.034775
1452	YDR465C	1.541625	2.00375	1.699625	-0.434525	-0.439075
1453	YDR466W	1.26205	1.340375	0.6362	-0.106625	-0.07645
1455	YDR468C	-0.7255	-1.02285	-1.24055	0.1513	0.39185
1457	YDR470C	-1.11585	-1.21615	-1.230475	0.046975	-0.025
1464	YDR478W	-0.544575	-0.6066	-0.4604	-0.47505	0.16205
1466	YDR480W	-1.15165	-1.05115	-1.3137	-0.18295	-0.698975
1467	YDR481C	0.369675	0.80085	1.2365	0.59025	0.528675
1476	YDR490C	0.93825	0.740925	0.308525	0.102125	0.279975
1478	YDR492W	6.93125	5.54645	5.45315	-6.1312	-6.325425
1480	YDR494W	1.103525	1.045225	1.3919	0.191575	0.5053
1482	YDR496C	2.804975	3.263775	2.317975	-1.399225	-0.0878
1483	YDR497C	1.350375	2.017	2.692	0.22105	1.8467
1485	YDR499W	0.615375	0.912225	1.35605	0.125025	-0.075225
1486	YDR500C	-0.451675	-0.95025	-1.118175	-0.507125	-0.43905
1488	YDR502C	-0.338975	0.886375	2.079975	-1.8156	0.052025
1489	YDR503C	-1.00485	-0.965875	-0.709125	1.16105	-0.083125
1495	YDR509W	1.0469	1.49275	1.0762	-0.967825	-0.665375
1496	YDR510W	-0.437525	-0.976375	-1.072775	-0.098075	0.334075
1497	YDR511W	-0.64575	-1.40745	-0.957875	0.079975	0.164975
1499	YDR513W	-1.172175	-0.88635	-0.992075	0.814475	0.476025
1500	YDR514C	0.88305	1.297975	1.580525	-0.27035	-0.516575
1502	YDR516C	0.008175	-0.622575	-1.41745	2.969025	1.572475
1503	YDR517W	-1.172675	-0.48375	-1.673825	0.193625	-0.906
1505	YDR519W	-0.9446	-0.5935	-1.26615	0.927575	0.427975
1512	YDR526C	1.106725	1.0219	0.954075	-0.489525	-0.2978
1513	YDR527W	1.47465	1.542875	1.21345	-0.7764	-0.930425
1515	YDR529C	-0.97355	-0.637825	-0.785425	0.051675	1.375825
1519	YDR533C	-0.103975	-1.49835	-1.49715	2.09	0.482525
1524	YDR538W	-0.326	-0.7681	-1.139075	0.49255	0.147225
1527	YDR541C	-0.756125	-0.754275	-0.543725	-0.07705	-0.586975
1536	YEL005C	-0.778225	-0.720475	-0.644925	0.101825	0.0383
1538	YEL007W	-3.53535	-2.1359	-2.3571	0.755175	1.2364
1542	YEL011W	-0.423825	-0.60415	-0.605	0.5932	0.226575
1547	YEL016C	-1.3244	-0.596625	-1.1287	0.11415	-0.0493
1550	YEL018W	0.48365	0.390475	0.418525	-0.7218	-1.1667
1552	YEL020C	0.401725	0.512375	0.79505	-0.8211	-0.817225
1556	YEL024W	-0.36415	-0.205775	-0.73695	0.880025	1.9815
1557	YEL025C	0.48725	0.28795	0.42695	-0.7546	-0.266625
1558	YEL026W	0.734875	0.94225	1.0467	-0.9948	-1.3114
1569	YEL037C	0.1575	0.0475	-0.057175	-0.5212	-1.236625
1571	YEL039C	0.385775	-0.4769	-0.4526	1.6748	1.745175
1572	YEL040W	0.042925	1.503625	1.817625	1.0137	1.256675
1578	YEL046C	2.297925	3.0056	3.0895	-0.688625	-1.181875
1579	YEL047C	-0.2818	-0.01935	-0.480775	0.5749	-1.1978
1582	YEL050C	0.790275	0.463775	0.74015	0.265875	0.365225
1589	YEL057C	0.576825	0.874025	0.97515	-0.269275	0.0643
1593	YEL060C	0.3004	1.333875	1.74175	0.4587	2.177625
1596	YEL063C	1.382175	1.9208	1.1404	0.23545	0.58915
1599	YEL066W	-0.77795	-1.18295	-1.283225	-0.518775	0.27455
1603	YEL070W	-0.33445	-0.48295	-0.895675	-0.51295	-0.727225
1604	YEL071W	-1.03785	-0.328325	0.324625	-0.18985	-1.875425
1614	YER002W	1.089375	1.09165	0.81125	-1.150725	0.23385
1615	YER003C	-0.639525	-0.9291	-0.9204	0.325775	0.860875
1618	YER006W	0.9457	2.40455	2.717375	-2.51285	0.512425
1619	YER007C-A	-0.771975	-0.505225	-0.374825	-0.555675	-0.538025
1621	YER008C	-0.14365	-0.350075	-0.394425	0.014775	-0.285925
1624	YER011W	0.57875	0.778125	1.747675	1.93145	-0.43525
1629	YER016W	-1.097233333	-0.9649	-1.243866667	0.1666	-0.2539
1635	YER021W	0.2086	0.3939	0.583875	-0.309275	-1.0389
1650	YER036C	2.112425	1.868675	2.26005	-0.7385	-0.071375
1657	YER043C	0.8409	1.798	2.01095	0.269575	-0.307725
1658	YER044C	0.237225	0.55185	0.710725	0.587475	0.49645
1668	YER053C	-1.838875	-1.43075	-1.720775	1.2513	3.631175
1669	YER054C	-0.4555	-0.197425	-0.5087	0.476925	0.336575
1671	YER056C	2.5022	1.837575	0.254125	-0.815925	-0.32845
1672	YER056C-A	-1.103075	-1.421075	-1.200025	-0.4257	-0.7512
1673	YER057C	-0.50335	-0.750575	-1.2705	0.7152	1.09055
1675	YER059W	-0.887833333	-0.531275	-1.08735	-0.273725	-0.634325
1678	YER061C	-0.66295	-0.6718	-0.975175	-0.292025	0.276225
1682	YER065C	0.687375	0.283	0.3745	-0.0698	-0.460625
1692	YER074W	0.2472	-0.8869	-1.139025	-0.68135	-1.148475
1697	YER079W	-0.728	-0.720366667	-0.7924	0.247	0.783933333
1700	YER082C	2.110925	1.512975	1.9514	-1.1236	-0.901625
1701	YER083C	-0.761125	-1.419325	-1.167425	0.249575	-0.031475
1703	YER085C	-0.932225	-1.151625	-1.347975	0.681725	0.122025
1704	YER086W	0.874133333	0.860333333	1.131766667	0.312	0.6056
1713	YER093C-A	3.56125	1.4868	0.01295	-0.38275	0.546975
1727	YER107C	1.056	1.211875	1.0593	-0.24665	-0.304825
1738	YER119C	-0.736325	-0.95125	-1.260575	0.924575	0.4619
1745	YER125W	1.130775	1.382325	1.95405	0.0248	0.14675
1746	YER126C	2.4445	2.826875	3.119625	-0.603275	0.12385
1748	YER128W	-0.78715	-1.0241	-0.59465	0.260475	-0.020575
1750	YER130C	-1.333925	-1.2647	-0.5501	-0.3299	0.66625
1751	YER131W	-0.72455	-1.077875	-1.3211	-0.2224	0.045925
1757	YER137C	-0.5506	-0.66115	-0.75405	-0.793225	-0.88765
1765	YER145C	-0.21305	-0.631125	-0.821225	-1.440875	-2.283125
1767	YER147C	1.36015	1.127675	1.14155	0.25875	-0.460075
1770	YER150W	-1.356925	-0.659575	-0.0982	2.774275	2.40745
1772	YER152C	-0.687375	-0.537275	-1.20025	-0.202675	-0.481825
1776	YER156C	1.516425	1.618925	1.9593	-0.7929	-0.4971
1783	YER163C	-0.976925	-1.4507	-1.757725	0.38245	-0.24455
1784	YER164W	-0.133675	-0.225325	-0.7864	0.735575	1.213925
1788	YER168C	1.2953	1.3538	1.5078	0.34655	-0.139625
1789	YER169W	1.479025	1.963575	1.183725	0.784675	1.063675
1791	YER171W	0.3125	1.2395	1.1704	0.3083	0.2125
1793	YER173W	0.08395	0.10395	0.4168	0.690525	1.028425
1795	YER175C	0.039575	0.86915	1.578275	0.3832	0.554466667
1797	YER177W	-0.8012	-1.0276	-1.62285	0.994625	0.126875
1813	YFL001W	0.522475	0.668175	0.792525	-0.832175	-0.636475
1814	YFL002C	1.398675	1.5669	1.117625	-0.66085	-0.54935
1815	YFL003C	0.5151	0.21745	1.055575	-0.3412	-0.175925
1819	YFL008W	-0.5124	-0.5731	-0.545575	-0.9348	-0.702775
1821	YFL010C	-1.21605	-0.771075	-1.081475	0.654375	-0.9935
1822	YFL010W-A	-0.871025	-1.36325	-1.334525	0.470375	-0.3422
1823	YFL011W	4.3766	1.969575	-0.021925	-0.234575	0.798875
1824	YFL012W	0.26275	-0.084825	-0.21145	1.36395	1.545225
1825	YFL012W-A	-1.0612	-1.0423	-0.888925	6.145825	6.853775
1826	YFL013C	1.4147	1.364825	1.033125	0.270275	0.25195
1827	YFL014W	-1.7096	-1.882325	-2.1372	9.78005	11.489225
1830	YFL017C	-0.8821	-1.774675	-1.992375	0.095425	0.370675
1836	YFL022C	-0.4357	-0.403875	-0.53575	0.0851	-0.2391
1841	YFL027C	0.95135	1.26875	0.4998	0.33495	0.224775
1842	YFL028C	0.19865	0.449275	1.00345	1.168125	0.362325
1843	YFL029C	-0.1504	-0.096175	-0.57475	2.678675	2.1252
1848	YFL034C-A	-0.939025	-1.16395	-2.0492	-0.915025	0.39185
1858	YFL044C	-0.889525	-1.065375	-1.325375	0.16125	-0.5
1864	YFL050C	-0.38015	-0.1983	-0.7197	1.7564	2.2952
1865	YFL051C	1.331125	0.728475	-0.435	2.27995	2.82325
1868	YFL054C	-0.122325	-0.23945	-0.584125	0.376825	0.43415
1869	YFL055W	0.93445	1.1257	0.772325	0.4909	0.483625
1870	YFL056C	0.67735	0.2877	1.1424	-0.1213	-0.02085
1872	YFL058W	-0.02715	-0.0145	0.02475	1.2303	1.193775
1873	YFL059W	-0.51475	-0.474975	-0.498675	1.63565	2.43505
1874	YFL060C	0.074725	-0.9688	-0.957475	0.02285	0.144725
1876	YFL062W	0.389125	-1.039825	-0.78665	1.785775	0.448625
1882	YFL068W	-0.130375	-0.347175	-0.276825	1.529275	-0.6061
1884	YFR002W	-0.19295	0.198775	0.489575	0.7874	0.98965
1895	YFR013W	-0.1183	0.44565	0.0331	1.659575	1.898875
1906	YFR024C-A	-0.743025	-1.27475	-1.471775	0.16285	-0.64545
1907	YFR025C	-1.196075	-1.1903	-1.309025	0.21605	-0.360825
1908	YFR026C	0.305825	-0.5229	-0.3679	-0.608075	-1.71525
1915	YFR032C	3.3361	1.671425	1.791625	-0.25835	-0.51145
1918	YFR035C	-0.854	-1.014125	-1.40675	0.723925	1.328725
